hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number | VA,"To the best Of its knowledge And belief, the hospital has included all applicable standard charge information In accordance With the requirements Of 45 CFR 180.50, And the information encoded Is True, accurate, And complete As Of the Date indicated.",Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Sentara Halifax Regional Hospital,2024-04-01,2.0.0,Sentara Halifax Regional Hospital,"2204 Wilborn Avenue, South Boston, VA 24592",H1853,True,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,code|3,code|3|type,billing_class,setting,drug_unit_of_measurement,drug_type_of_measurement,modifiers,standard_charge|gross,standard_charge|discounted_cash,payer_name,plan_name,standard_charge|negotiated_dollar,standard_charge|negotiated_percentage,standard_charge|negotiated_algorithm,estimated_amount,standard_charge|methodology,standard_charge|min,standard_charge|max,additional_generic_notes,additional_payer_notes
R&B PRIVATE,30010001,CDM,110,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B SEMI-PRIVATE,30010002,CDM,120,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B INTENSIVE CARE,30010003,CDM,200,RC,,,facility,both,,,,5402,2701,,,,,,,,,,,
R&B ANTEPARTUM,30010004,CDM,110,RC,,,facility,both,,,,2377,1188.5,,,,,,,,,,,
R&B BURN/TRAUMA,30010005,CDM,208,RC,,,facility,both,,,,9201,4600.5,,,,,,,,,,,
R&B CCU,30010006,CDM,210,RC,,,facility,both,,,,5402,2701,,,,,,,,,,,
R&B CV ICU,30010008,CDM,201,RC,,,facility,both,,,,6311,3155.5,,,,,,,,,,,
R&B EICU-ICU MONITORED,30010009,CDM,200,RC,,,facility,both,,,,5402,2701,,,,,,,,,,,
R&B EICU-STEPDOWN MONITORED,30010010,CDM,206,RC,,,facility,both,,,,2900,1450,,,,,,,,,,,
R&B PROG CARE,30010015,CDM,206,RC,,,facility,both,,,,2900,1450,,,,,,,,,,,
R&B NIC-ACUTE,30010018,CDM,173,RC,,,facility,both,,,,3734,1867,,,,,,,,,,,
R&B NIC-INTERMEDIATE,30010019,CDM,172,RC,,,facility,both,,,,2885,1442.5,,,,,,,,,,,
R&B NURSERY,30010020,CDM,171,RC,,,facility,both,,,,2047,1023.5,,,,,,,,,,,
R&B SCN ACUTE,30010022,CDM,173,RC,,,facility,both,,,,3778,1889,,,,,,,,,,,
R&B NIC PEDS ACUTE,30010023,CDM,179,RC,,,facility,both,,,,3735,1867.5,,,,,,,,,,,
R&B NIC PEDS CRITICAL,30010024,CDM,179,RC,,,facility,both,,,,4822,2411,,,,,,,,,,,
R&B NIC PEDS INTERMEDIATE,30010025,CDM,179,RC,,,facility,both,,,,2885,1442.5,,,,,,,,,,,
R&B OSC PRIVATE,30010027,CDM,115,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B OBSERVATION,30010029,CDM,120,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B PSYCH ATA,30010030,CDM,124,RC,,,facility,both,,,,4434,2217,,,,,,,,,,,
R&B PEDS,30010031,CDM,110,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B PSYCH ITA,30010033,CDM,114,RC,,,facility,both,,,,4434,2217,,,,,,,,,,,
R&B PNICU,30010034,CDM,174,RC,,,facility,both,,,,4822,2411,,,,,,,,,,,
R&B POSTPARTUM,30010035,CDM,110,RC,,,facility,both,,,,2197,1098.5,,,,,,,,,,,
R&B REHAB ROOM,30010036,CDM,128,RC,,,facility,both,,,,3492,1746,,,,,,,,,,,
R&B RECOV RM HOLD,30010038,CDM,200,RC,,,facility,both,,,,1917,958.5,,,,,,,,,,,
